Атрибут,Герой,Damage,Cпособности
Сила,Abaddon,33,"Quas, Wex, Exort"
Сила,Alchemist,46,"Borrowed Time, Metamorphosis, Закончить Nightmare"
Сила,Axe,47,"Battle Trance, Telekinesis Land, Fade Bolt"
Сила,Beastmaster,37,"Sun Ray, Berserker's Rage, Whirling Axes (дальний бой)"
Сила,Brewmaster,51,"Sanity's Eclipse, Icarus Dive, Fire Spirits"
Сила,Bristleback,57,"Arcane Orb, Astral Imprisonment, Essence Aura"
Сила,CentaurWarrunner,63,"Flamebreak, Firefly, Flaming Lasso"
Сила,ChaosKnight,48,"Essence Shift, Shadow Dance, Sticky Napalm"
Сила,Clockwerk,35,"Laguna Blade, Dark Pact, Pounce"
Сила,Dawnbreaker,47,"Dragon Slave, Light Strike Array, Fiery Soul"
Сила,Doom,45,"Powershot, Windrun, Focus Fire"
Сила,DragonKnight,43,"Rip Tide, Song of the Siren, Shackleshot"
Сила,EarthSpirit,51,"Nether Swap, Mirror Image, Ensnare"
Сила,Earthshaker,61,"Magic Missile, Wave of Terror, Vengeance Aura"
Сила,ElderTitan,50,"Call of the Wild, Inner Beast, Primal Roar"
Сила,Huskar,58,"X Marks the Spot, Ghostship, Wild Axes"
Сила,Io,33,"Summon Familiars, Torrent, Tidebringer"
Сила,Kunkka,46,"Grave Chill, Soul Assumption, Gravekeeper's Cloak"
Сила,LegionCommander,30,"Disruption, Soul Catcher, Shadow Poison"
Сила,Lifestealer,60,"Forge Spirit, Ice Wall, Deafening Blast"
Сила,Lycan,67,"Alacrity, Chaos Meteor, Sun Strike"
Сила,Magnus,69,"Ghost Walk, Tornado, EMP"
Сила,Marci,43,"Chilling Touch, Ice Blast, Cold Snap"
Сила,Mars,41,"Wall of Replica, Cold Feet, Ice Vortex"
Сила,NightStalker,34,"Vacuum, Ion Shell, Surge"
Сила,Omniknight,69,"Diabolic Edict, Lightning Storm, Pulse Nova"
Сила,Phoenix,66,"Shadow Wave, Weave, Split Earth"
Сила,Pudge,45,"Life Drain, Poison Touch, Shallow Grave"
Сила,SandKing,66,"Nether Blast, Decrepify, Nether Ward"
Сила,Slardar,34,"Silence, Witchcraft, Exorcism"
Сила,Snapfire,33,"Scream Of Pain, Sonic Wave, Crypt Swarm"
Сила,SpiritBreaker,32,"Chaotic Offering, Shadow Strike, Blink"
Сила,Sven,61,"Fatal Bonds, Shadow Word, Upheaval"
Сила,Tidehunter,67,"Heartstopper Aura, Sadist, Reaper's Scythe"
Сила,Timbersaw,68,"Midnight Pulse, Black Hole, Death Pulse"
Сила,Tiny,68,"Death Ward, Malefice, Demonic Conversion"
Сила,TreantProtector,44,"Paralyzing Cask, Voodoo Restoration, Maledict"
Сила,Tusk,51,"Hex, Mana Drain, Finger of Death"
Сила,Underlord,40,"Sacrifice, Chain Frost, Earth Spike"
Сила,Undying,64,"Fiend's Grip, Frost Blast, Ice Armor"
Сила,WraithKing,40,"Enfeeble, Brain Sap, Nightmare"
Ловкость,Anti-Mage,34,"Reflection, Conjure Image, Sunder"
Ловкость,ArcWarden,38,"Mystic Snake, Mana Shield, Stone Gaze"
Ловкость,Bloodseeker,52,"Spiked Carapace, Vendetta, Split Shot"
Ловкость,BountyHunter,60,"Divided We Stand, Impale, Mana Burn"
Ловкость,Broodmother,55,"Earthbind, Poof, Geostrike"
Ловкость,Clinkz,65,"Dispersion, Reality, Haunt"
Ловкость,DrowRanger,56,"Time Lapse, Spectral Dagger, Desolate"
Ловкость,EmberSpirit,41,"The Swarm, Shukuchi, Geminate Attack"
Ловкость,FacelessVoid,47,"Spin Web, Incapacitating Bite, Insatiable Hunger"
Ловкость,Gyrocopter,42,"Skeleton Walk, Death Pact, Spawn Spiderlings"
Ловкость,Hoodwink,44,"Viper Strike, Strafe, Searing Arrows"
Ловкость,Juggernaut,45,"Poison Attack, Nethertoxin, Corrosive Skin"
Ловкость,LoneDruid,52,"Phantom Strike, Blur, Coup de Grace"
Ловкость,Luna,50,"Time Lock, Chronosphere, Stifling Dagger"
Ловкость,Medusa,44,"Poison Nova, Time Walk, Backtrack"
Ловкость,Meepo,44,"Venomous Gale, Poison Sting, Plague Ward"
Ловкость,Mirana,51,"Static Link, Unstable Current, Eye of the Storm"
Ловкость,MonkeyKing,59,"Presence of the Dark Lord, Requiem of Souls, Plasma Field"
Ловкость,Morphling,64,"Rupture, Shadowraze, Necromastery"
